아,에,이,오,우,히,
61613,62465,19.04,61613 ,62465,19.04,20
48548,44544,69.69,61613 ,62465,19.04,20
43928,39422,115.31,48548 ,44544,69.69,70
43928,35203,7.56,43928 ,39422,115.31,116
61613,61009,13.32,43928 ,35203,7.56,8
48548,48475,5.65,61613 ,61009,13.32,14
48548,46744,30.8,48548 ,48475,5.65,6
43928,35262,6.46,61613 ,62465,19.04,20
48548,38461,122.79,48548 ,46744,30.8,31
48548,48743,6,43928 ,35262,6.46,7
48548,44783,60.68,48548 ,46744,30.8,31
61613,54851,101.24,48548 ,46744,30.8,31
43928,31181,76.81,48548 ,38461,122.79,123
48548,42095,110.96,61613 ,62465,19.04,20
43928,28356,43.37,48548 ,48743,6,6
61613,61004,14,48548 ,46744,30.8,31
48548,48400,7.21,48548 ,44783,60.68,61
43928,32800,23.68,61613 ,54851,101.24,102
48548,50883,39.3,43928 ,31181,76.81,77
48548,41944,127.2,48548 ,42095,110.96,111
48548,44784,57.33,61613 ,62465,19.04,20
43928,31248,72.72,43928 ,28356,43.37,44
43928,31454,87.52,43928 ,28356,43.37,44
61613,57816,118.57,61613 ,61004,14,14
61613,61251,4.24,48548 ,48400,7.21,8
48548,37878,125.53,43928 ,32800,23.68,24
61613,62272,9.99,48548 ,50883,39.3,40
43928,31056,92.48,48548 ,41944,127.2,128
43928,30100,41.72,48548 ,44784,57.33,58
43928,54007,128.61,43928 ,31248,72.72,73
43928,34141,10.16,43928 ,31454,87.52,88
43928,30151,29.62,43928 ,31248,72.72,73
43928,55322,73.77,43928 ,31248,72.72,73
61613,61939,3.42,48548 ,48400,7.21,8
48548,44259,69.12,43928 ,28356,43.37,44
43928,35259,6.57,61613 ,57816,118.57,119
43928,28119,52.67,61613 ,62465,19.04,20
48548,48073,14.79,61613 ,61251,4.24,5
43928,39165,116.23,48548 ,37878,125.53,126
48548,47808,15.4,61613 ,62465,19.04,20
43928,34132,10.42,61613 ,62465,19.04,20
48548,46753,25.94,61613 ,62272,9.99,10
61613,54370,101.23,48548 ,46744,30.8,31
43928,34325,17.55,48548 ,46744,30.8,31
61613,54325,108.01,43928 ,31056,92.48,93
43928,39168,116.68,61613 ,62465,19.04,20
48548,51575,48.83,61613 ,62465,19.04,20
43928,34110,12.68,43928 ,30100,41.72,42
48548,41216,113.1,61613 ,62465,19.04,20
48548,44252,75.05,43928 ,30100,41.72,42
48548,43011,121.79,43928 ,54007,128.61,129
48548,53034,113.76,61613 ,62465,19.04,20
43928,55313,72.38,43928 ,30100,41.72,42
43928,50126,141.47,43928 ,31248,72.72,73
48548,44032,77.91,43928 ,31248,72.72,73
48548,50988,35.59,43928 ,32800,23.68,24
43928,30103,34.27,43928 ,34141,10.16,11
43928,34028,15.15,43928 ,31248,72.72,73
43928,34618,1.92,48548 ,46744,30.8,31
48548,44995,52.88,43928 ,30151,29.62,30
43928,27465,115.83,48548 ,37878,125.53,126
43928,28117,52.87,43928 ,31248,72.72,73
48548,48745,6.25,43928 ,28356,43.37,44
43928,39400,115.35,43928 ,28356,43.37,44
48548,37859,124.95,43928 ,55322,73.77,74
61613,58322,21.88,61613 ,61939,3.42,4
61613,62228,14.98,43928 ,31248,72.72,73
61613,59032,90.73,48548 ,44259,69.12,70
