index,depart,arrival,second_highest
1,광주광역시 남구 금화로422번길 27,광주광역시 광산구 진곡산단2번로 1,19.04
2,부산광역시 남구 신선로319번길 10,울산광역시 중구 종가8길 26,69.69
3,대전광역시 중구 대종로 434,경상북도 구미시 4공단로7길 15,115.31
4,대전광역시 중구 대종로 434,대전광역시 서구 둔산대로117번길 44,7.56
5,광주광역시 남구 금화로422번길 27,광주광역시 북구 첨단벤처로16번길 30,13.32
6,부산광역시 남구 신선로319번길 10,부산광역시 남구 우암로 375,5.65
7,부산광역시 남구 신선로319번길 10,부산광역시 강서구 미음산단로 153,30.8
8,대전광역시 중구 대종로 434,대전광역시 서구 문정로48번길 30,6.46
9,부산광역시 남구 신선로319번길 10,경상북도 경산시 다문로 240,122.79
10,부산광역시 남구 신선로319번길 10,부산광역시 동구 조방로 10,6
11,부산광역시 남구 신선로319번길 10,울산광역시 남구 용잠로 124,60.68
12,광주광역시 남구 금화로422번길 27,전북특별자치도 전주시 덕진구 팔복로 358,101.24
13,대전광역시 중구 대종로 434,충청남도 천안시 동남구 새말3길 38,76.81
14,부산광역시 남구 신선로319번길 10,대구광역시 수성구 달구벌대로496길 64,110.96
15,대전광역시 중구 대종로 434,충청북도 청주시 흥덕구 평동로 37,43.37
16,광주광역시 남구 금화로422번길 27,광주광역시 북구 불태1로 5,14
17,부산광역시 남구 신선로319번길 10,부산광역시 남구 전포대로 97,7.21
18,대전광역시 중구 대종로 434,충청남도 계룡시 계룡대로 663,23.68
19,부산광역시 남구 신선로319번길 10,경상남도 김해시 김해대로 1894,39.3
20,부산광역시 남구 신선로319번길 10,대구광역시 중구 국채보상로140길 32,127.2
21,부산광역시 남구 신선로319번길 10,울산광역시 남구 처용로561번길 15,57.33
22,대전광역시 중구 대종로 434,충청남도 천안시 동남구 대흥2길 89,72.72
23,대전광역시 중구 대종로 434,충청남도 아산시 명암동길 12,87.52
24,광주광역시 남구 금화로422번길 27,전라남도 광양시 산업로 133,118.57
25,광주광역시 남구 금화로422번길 27,광주광역시 북구 무등로202번길 15,4.24
26,부산광역시 남구 신선로319번길 10,경상북도 포항시 남구 동해안로 6133,125.53
27,광주광역시 남구 금화로422번길 27,광주광역시 광산구 월봉반월길 230,9.99
28,대전광역시 중구 대종로 434,충청남도 천안시 서북구 영산홍1길 12,92.48
29,대전광역시 중구 대종로 434,세종특별자치시 달빛로 211,41.72
30,대전광역시 중구 대종로 434,전북특별자치도 군산시 임해로 441,128.61
31,대전광역시 중구 대종로 434,대전광역시 유성구 대학로 291,10.16
32,대전광역시 중구 대종로 434,세종특별자치시 시청대로 209,29.62
33,대전광역시 중구 대종로 434,전북특별자치도 완주군 과학로 912,73.77
34,광주광역시 남구 금화로422번길 27,광주광역시 서구 화운로 221,3.42
35,부산광역시 남구 신선로319번길 10,울산광역시 북구 효암로 96,69.12
36,대전광역시 중구 대종로 434,대전광역시 서구 문정로 41,6.57
37,대전광역시 중구 대종로 434,충청북도 청주시 청원구 연구단지로 163,52.67
38,부산광역시 남구 신선로319번길 10,부산광역시 해운대구 송정광어골로82번길 141,14.79
39,대전광역시 중구 대종로 434,경상북도 구미시 첨단기업7로 50,116.23
40,부산광역시 남구 신선로319번길 10,부산광역시 동래구 충렬대로237번길 113,15.4
41,대전광역시 중구 대종로 434,대전광역시 유성구 과학로 82,10.42
42,부산광역시 남구 신선로319번길 10,부산광역시 강서구 녹산산단261로23번길 3,25.94
43,광주광역시 남구 금화로422번길 27,전북특별자치도 김제시 복죽로 585,101.23
44,대전광역시 중구 대종로 434,대전광역시 대덕구 신일서로85번길 75,17.55
45,광주광역시 남구 금화로422번길 27,전북특별자치도 김제시 백석로 371,108.01
46,대전광역시 중구 대종로 434,경상북도 구미시 첨단기업로 178,116.68
47,부산광역시 남구 신선로319번길 10,경상남도 창원시 성산구 공단로474번길 21,48.83
48,대전광역시 중구 대종로 434,대전광역시 유성구 가정북로 115,12.68
49,부산광역시 남구 신선로319번길 10,대구광역시 동구 아양로 114,113.1
50,부산광역시 남구 신선로319번길 10,울산광역시 북구 효자로 157,75.05
51,부산광역시 남구 신선로319번길 10,대구광역시 달성군 달성2차서로 84,121.79
52,부산광역시 남구 신선로319번길 10,경상남도 통영시 용호로 5,113.76
53,대전광역시 중구 대종로 434,전북특별자치도 완주군 우주로 515,72.38
54,대전광역시 중구 대종로 434,경상남도 거창군 양평3길 119,141.47
55,부산광역시 남구 신선로319번길 10,울산광역시 동구 안산로 18,77.91
56,부산광역시 남구 신선로319번길 10,경상남도 김해시 대청로210번길 24,35.59
57,대전광역시 중구 대종로 434,세종특별자치시 도움8로 11,34.27
58,대전광역시 중구 대종로 434,대전광역시 유성구 테크노2로 170,15.15
59,대전광역시 중구 대종로 434,대전광역시 동구 중앙로 240,1.92
60,부산광역시 남구 신선로319번길 10,울산광역시 울주군 온산로 68,52.88
61,대전광역시 중구 대종로 434,충청북도 충주시 기업도시2로 26,115.83
62,대전광역시 중구 대종로 434,충청북도 청주시 청원구 중부로 1036,52.87
63,부산광역시 남구 신선로319번길 10,부산광역시 동구 부산진성공원로 3,6.25
64,대전광역시 중구 대종로 434,경상북도 구미시 3공단3로 196,115.35
65,부산광역시 남구 신선로319번길 10,경상북도 포항시 남구 동해안로6213번길 22,124.95
66,광주광역시 남구 금화로422번길 27,전라남도 나주시 한빛로 144,21.88
67,광주광역시 남구 금화로422번길 27,광주광역시 광산구 하남산단5번로 46,14.98
68,광주광역시 남구 금화로422번길 27,전라남도 해남군 용머리길 11,90.73
69,대전광역시 중구 대종로 434,충청북도 청주시 흥덕구 대신로 215,43.82
70,대전광역시 중구 대종로 434,경상북도 문경시 예동길 72,125.47
71,대전광역시 중구 대종로 434,경상북도 구미시 1공단로4길 96,112.54
72,부산광역시 남구 신선로319번길 10,경상북도 포항시 남구 동해안로 6262,130.81
73,부산광역시 남구 신선로319번길 10,부산광역시 동래구 아시아드대로255번길 19,16.68
74,부산광역시 남구 신선로319번길 10,부산광역시 중구 충장대로5번길 67,8.44
75,광주광역시 남구 금화로422번길 27,광주광역시 광산구 금동안길 3,28.93
76,대전광역시 중구 대종로 434,충청남도 천안시 동남구 문암로 91,77.5
77,대전광역시 중구 대종로 434,대전광역시 유성구 가정로 168,12.43
78,대전광역시 중구 대종로 434,대전광역시 유성구 과학로 169,11.69
79,대전광역시 중구 대종로 434,대전광역시 유성구 유성대로1689번길 8,11.89
80,대전광역시 중구 대종로 434,충청북도 청주시 흥덕구 오송생명2로 187,46.63
81,대전광역시 중구 대종로 434,충청남도 공주시 무령로 429,45.39
82,광주광역시 남구 금화로422번길 27,전라남도 나주시 빛가람로 717,21.23
83,광주광역시 남구 금화로422번길 27,전북특별자치도 부안군 당산로 103,86.33
84,대전광역시 중구 대종로 434,대전광역시 서구 청사로 282,6.32
85,대전광역시 중구 대종로 434,경상북도 구미시 5공단로 105,119.86
86,부산광역시 남구 신선로319번길 10,경상북도 포항시 남구 정동길417번길 93,128.77
87,부산광역시 남구 신선로319번길 10,부산광역시 동구 충장대로 286,9.31
88,대전광역시 중구 대종로 434,경상북도 김천시 혁신로 85,89.5
89,대전광역시 중구 대종로 434,대전광역시 유성구 엑스포로269번길 38,9.14
90,대전광역시 중구 대종로 434,충청북도 청주시 서원구 충대로 1,42.72
91,대전광역시 중구 대종로 434,충청북도 청주시 흥덕구 오송생명로 46,46.73
92,대전광역시 중구 대종로 434,경상북도 구미시 수출대로 327,110.52
93,광주광역시 남구 금화로422번길 27,전북특별자치도 전주시 완산구 인정4길 14,99.85
94,대전광역시 중구 대종로 434,충청남도 천안시 서북구 성거길 42,80.81
95,광주광역시 남구 금화로422번길 27,전라남도 광양시 폭포사랑길 5,111.89
96,광주광역시 남구 금화로422번길 27,전라남도 나주시 그린로 63,22.72
97,대전광역시 중구 대종로 434,대전광역시 서구 계룡로 598,5.45
98,대전광역시 중구 대종로 434,충청북도 청주시 흥덕구 오송생명1로 197,46.4
99,광주광역시 남구 금화로422번길 27,전북특별자치도 전주시 덕진구 백제대로 567,107.91
100,대전광역시 중구 대종로 434,경상북도 구미시 3공단2로 174,114.72
101,광주광역시 남구 금화로422번길 27,전라남도 목포시 산정로 260,77.04
102,광주광역시 남구 금화로422번길 27,전라남도 무안군 어진누리길 26,62.17
103,대전광역시 중구 대종로 434,대전광역시 대덕구 신탄진로 190,9.99
104,부산광역시 남구 신선로319번길 10,경상남도 거제시 두모길 43,70.03
105,대전광역시 중구 대종로 434,충청남도 천안시 동남구 충절로 1139,66.09
106,대전광역시 중구 대종로 434,경상북도 구미시 3공단3로 302,110.8
107,부산광역시 남구 신선로319번길 10,울산광역시 북구 명촌10길 24,69.84
108,대전광역시 중구 대종로 434,전북특별자치도 군산시 번영로 115,99.91
109,부산광역시 남구 신선로319번길 10,부산광역시 강서구 미음산단로 152,31.52
110,대전광역시 중구 대종로 434,경상북도 구미시 수출대로 411,110.16
111,부산광역시 남구 신선로319번길 10,대구광역시 북구 고성로 142,125.28
112,부산광역시 남구 신선로319번길 10,부산광역시 부산진구 복지로85번길 5,11.87
113,부산광역시 남구 신선로319번길 10,울산광역시 남구 대학로 87,59.96
114,부산광역시 남구 신선로319번길 10,부산광역시 남구 용소로 93,3.76
115,광주광역시 남구 금화로422번길 27,전라남도 장흥군 기동1길 89,62.8
116,부산광역시 남구 신선로319번길 10,경상북도 포항시 남구 시청로 1,132.55
117,광주광역시 남구 금화로422번길 27,광주광역시 서구 상무중앙로 64,5.77
118,광주광역시 남구 금화로422번길 27,전라남도 함평군 기산길 127,41.99
119,광주광역시 남구 금화로422번길 27,전라남도 장성군 서발길 36,34.62
120,대전광역시 중구 대종로 434,경상북도 안동시 산업단지길 157,177.12
121,부산광역시 남구 신선로319번길 10,경상남도 창원시 성산구 웅남로 504,50.85
122,부산광역시 남구 신선로319번길 10,경상북도 경주시 산업로 2390,86.8
123,부산광역시 남구 신선로319번길 10,경상남도 김해시 고모로526번길 51,47.79
124,부산광역시 남구 신선로319번길 10,울산광역시 남구 중앙로 201,64.85
125,대전광역시 중구 대종로 434,대전광역시 유성구 대덕대로 523,9.73
126,대전광역시 중구 대종로 434,대전광역시 유성구 대덕대로799번길 19,12.08
127,광주광역시 남구 금화로422번길 27,전라남도 나주시 쌍산1길 1,20.33
128,대전광역시 중구 대종로 434,대전광역시 유성구 엑스포로 1,8.45
129,부산광역시 남구 신선로319번길 10,경상북도 청송군 월막1길 17,212.94
130,광주광역시 남구 금화로422번길 27,전라남도 광양시 해광로 701,99.39
131,대전광역시 중구 대종로 434,충청남도 홍성군 조양로33번길 17,103.58
132,대전광역시 중구 대종로 434,충청북도 청주시 흥덕구 공단로 92,43.93
133,부산광역시 남구 신선로319번길 10,경상남도 창원시 진해구 충장로 25,52.75
134,부산광역시 남구 신선로319번길 10,부산광역시 영도구 해양로301번길 55,9.12
135,대전광역시 중구 대종로 434,전북특별자치도 완주군 오공로 11,88.52
136,대전광역시 중구 대종로 434,충청남도 금산군 북사직1길 25,30.3
137,부산광역시 남구 신선로319번길 10,경상남도 진주시 충의로 19,109.6
138,대전광역시 중구 대종로 434,세종특별자치시 내창3길 16,51.98
139,대전광역시 중구 대종로 434,충청남도 천안시 서북구 번영로 467,81.02
140,광주광역시 남구 금화로422번길 27,전라남도 여수시 여수산단4로 166,120.22
141,대전광역시 중구 대종로 434,충청북도 청주시 흥덕구 만수길 14,46.15
142,대전광역시 중구 대종로 434,대전광역시 유성구 테크노5로 18,16.73
143,대전광역시 중구 대종로 434,대전광역시 유성구 엑스포로 521,11.62
144,광주광역시 남구 금화로422번길 27,전북특별자치도 전주시 덕진구 들사평서로 17,102.28
145,대전광역시 중구 대종로 434,충청북도 청주시 서원구 선동2길 232,23.5
146,대전광역시 중구 대종로 434,충청북도 보은군 남부로 4019,42.06
147,대전광역시 중구 대종로 434,대전광역시 유성구 문화원로47번길 25,11.71
148,대전광역시 중구 대종로 434,충청남도 아산시 중앙공원로33번길 27,100.53
149,부산광역시 남구 신선로319번길 10,부산광역시 연제구 고분로 216,11.7
150,부산광역시 남구 신선로319번길 10,대구광역시 북구 경대로7길 38,115.64
151,대전광역시 중구 대종로 434,충청남도 천안시 동남구 가전1길 253,72.07
152,부산광역시 남구 신선로319번길 10,경상북도 청송군 동천길 129,213.39
153,대전광역시 중구 대종로 434,경상북도 구미시 옥계2공단로1길 32,113.99
154,광주광역시 남구 금화로422번길 27,광주광역시 광산구 극락둑길 349,10.78
155,대전광역시 중구 대종로 434,충청북도 청주시 청원구 과학산업4로 80,52.51
156,대전광역시 중구 대종로 434,충청남도 천안시 동남구 일봉로 107,75.6
157,부산광역시 남구 신선로319번길 10,부산광역시 동구 중앙대로231번길 41,8.52
158,부산광역시 남구 신선로319번길 10,경상남도 창원시 진해구 두동도요로 183,34.11
159,부산광역시 남구 신선로319번길 10,대구광역시 달서구 송현로 205,136.23
160,부산광역시 남구 신선로319번길 10,부산광역시 강서구 명지오션시티9로 53,20.61
161,광주광역시 남구 금화로422번길 27,전북특별자치도 남원시 오들1길 56,69.22
162,대전광역시 중구 대종로 434,충청남도 천안시 서북구 3공단2로 12,81.24
163,광주광역시 남구 금화로422번길 27,광주광역시 북구 대천로27번길 23,7.89
164,대전광역시 중구 대종로 434,세종특별자치시 시청대로 365,29.44
165,대전광역시 중구 대종로 434,충청남도 청양군 문화예술로 222,85.41
166,부산광역시 남구 신선로319번길 10,경상남도 창원시 진해구 연구단지로 37,52.54
167,부산광역시 남구 신선로319번길 10,경상북도 청송군 못안길 14,233.4
168,대전광역시 중구 대종로 434,충청남도 아산시 4산단로 131,82.45
169,대전광역시 중구 대종로 434,세종특별자치시 집현중앙4로 28,31.22
170,대전광역시 중구 대종로 434,경상북도 안동시 노산새들길 7,178.15
171,부산광역시 남구 신선로319번길 10,울산광역시 울주군 양등길 133,84.86
172,광주광역시 남구 금화로422번길 27,전북특별자치도 전주시 완산구 바우배기2길 18,98.43
173,대전광역시 중구 대종로 434,세종특별자치시 절재로 172,34.05
174,대전광역시 중구 대종로 434,세종특별자치시 효자길 111,39.68
175,부산광역시 남구 신선로319번길 10,경상남도 양산시 교동1길 91,37.18
176,부산광역시 남구 신선로319번길 10,경상남도 거제시 피솔길 252,73.34
177,대전광역시 중구 대종로 434,대전광역시 서구 대덕대로335번길 13,7.87
178,광주광역시 남구 금화로422번길 27,전북특별자치도 전주시 덕진구 기지로 180,97
179,대전광역시 중구 대종로 434,충청남도 아산시 남부로 292,85.32
180,대전광역시 중구 대종로 434,충청남도 천안시 동남구 망향로 79,76.62
181,부산광역시 남구 신선로319번길 10,부산광역시 동구 중앙대로320번길 7,7.61
182,대전광역시 중구 대종로 434,대전광역시 유성구 유성대로 1430,19.35
183,대전광역시 중구 대종로 434,충청남도 아산시 배방로 158,87.04
184,부산광역시 남구 신선로319번길 10,부산광역시 강서구 화전산업대로 232,24.27
185,부산광역시 남구 신선로319번길 10,경상남도 창원시 성산구 성산패총로 107,50.69
186,대전광역시 중구 대종로 434,충청남도 공주시 창벽로 42,46.7
187,대전광역시 중구 대종로 434,세종특별자치시 한누리대로 402,37.49
188,대전광역시 중구 대종로 434,충청남도 아산시 만전당길 47,84.01
189,광주광역시 남구 금화로422번길 27,광주광역시 동구 남문로 272,10.55
190,부산광역시 남구 신선로319번길 10,부산광역시 동구 진시장로 19,6.37
191,부산광역시 남구 신선로319번길 10,울산광역시 남구 법대로 15,62.91
192,부산광역시 남구 신선로319번길 10,부산광역시 사하구 다대로170번길 14,13.64
