City,Distance,avg_cost,avg_cost_per_km
10016,50.0,45000.0,900.0
10090,39.0,34864.86486486487,893.970893970894
10109,32.0,45000.0,1406.25
10113,30.0,45000.0,1500.0
10366,39.0,70000.0,1794.871794871795
10391,39.0,,
10401,38.0,,
10403,33.0,30000.0,909.0909090909091
10410,38.0,35000.0,921.0526315789474
10442,31.0,38571.42857142857,1244.2396313364054
10443,26.0,,
10449,31.0,35000.0,1129.032258064516
10512,26.0,,
10545,13.0,50000.0,3846.153846153846
10561,34.0,,
10845,63.0,47857.142857142855,759.6371882086169
10845,65.0,50000.0,769.2307692307693
10897,50.0,50000.0,1000.0
10939,51.0,52727.27272727273,1033.868092691622
10955,52.0,55000.0,1057.6923076923076
12098,50.0,60000.0,1200.0
12243,46.0,,
12269,63.0,60000.0,952.3809523809524
12284,61.0,60000.0,983.6065573770492
12611,108.0,,
12646,109.0,80000.0,733.9449541284404
12902,55.0,40000.0,727.2727272727273
12938,58.0,70000.0,1206.896551724138
13211,54.0,40000.0,740.7407407407408
13449,42.0,50000.0,1190.4761904761904
13453,43.0,40000.0,930.2325581395348
13486,44.0,48461.53846153846,1101.3986013986014
13487,44.0,,
13488,44.0,45000.0,1022.7272727272727
13493,46.0,42500.0,923.9130434782609
13494,43.0,44166.666666666664,1027.1317829457364
13496,49.0,47962.96296296296,978.8359788359791
13505,49.0,50000.0,1020.4081632653061
13531,41.0,55000.0,1341.4634146341464
13557,47.0,,
13570,47.0,50000.0,1063.8297872340424
13590,43.0,40000.0,930.2325581395348
13591,42.0,,
13595,46.0,52857.142857142855,1149.0683229813665
13609,41.0,,
13636,50.0,,
13638,46.0,50000.0,1086.9565217391305
13824,28.0,25000.0,892.8571428571429
13840,33.0,32500.0,984.8484848484848
14055,26.0,27250.0,1048.076923076923
14056,28.0,,
14058,30.0,30000.0,1000.0
14087,20.0,30000.0,1500.0
14127,27.0,30000.0,1111.111111111111
14348,17.0,20000.0,1176.4705882352941
14547,12.0,25000.0,2083.3333333333335
14547,22.0,20000.0,909.0909090909091
14780,3.0,15000.0,5000.0
14988,18.0,26000.0,1444.4444444444443
15093,22.0,26666.666666666668,1212.121212121212
15603,25.0,,
15609,35.0,40000.0,1142.857142857143
15633,36.0,,
15808,26.0,25000.0,961.5384615384615
15849,32.0,25000.0,781.25
16006,31.0,33333.333333333336,1075.268817204301
16075,32.0,,
16082,35.0,38571.42857142857,1102.0408163265306
16336,42.0,35000.0,833.3333333333334
16419,43.0,30000.0,697.6744186046511
16494,47.0,,
16508,43.0,,
16512,46.0,,
16522,48.0,,
16522,53.0,40000.0,754.7169811320755
16674,55.0,40000.0,727.2727272727273
16675,50.0,40833.333333333336,816.6666666666666
16676,51.0,48750.0,955.8823529411766
16677,51.0,51666.666666666664,1013.0718954248367
16678,58.0,50000.0,862.0689655172414
16681,51.0,45000.0,882.3529411764706
16826,49.0,40000.0,816.3265306122449
