City,OrderHour,total_orders,avg_cost
City_0,0,1,250000.0
City_1,0,39,47962.96296296296
City_10,0,19,25000.0
City_100,0,2,30000.0
City_101,0,7,30000.0
City_102,0,4,25000.0
City_103,0,1,250000.0
City_104,0,1,40000.0
City_105,0,6,46666.666666666664
City_106,0,3,22500.0
City_107,0,6,26666.666666666668
City_108,0,1,35000.0
City_109,0,2,45000.0
City_11,0,29,30961.53846153846
City_110,0,18,37916.666666666664
City_111,0,15,39444.444444444445
City_112,0,1,40000.0
City_113,0,2,35000.0
City_114,0,1,25000.0
City_115,0,6,84000.0
City_116,0,2,15000.0
City_117,0,8,51666.666666666664
City_118,0,2,90000.0
City_119,0,1,45000.0
City_12,0,1,260000.0
City_120,0,1,40000.0
City_121,0,1,150000.0
City_122,0,1,50000.0
City_123,0,5,35000.0
City_124,0,1,25000.0
City_125,0,7,33750.0
City_126,0,1,30000.0
City_127,0,3,30000.0
City_128,0,1,30000.0
City_129,0,3,40000.0
City_13,0,79,24062.5
City_130,0,1,35000.0
City_131,0,1,30000.0
City_132,0,12,28333.333333333332
City_133,0,2,25000.0
City_134,0,1,220000.0
City_135,0,5,25000.0
City_136,0,3,37500.0
City_137,0,1,40000.0
City_138,0,2,60000.0
City_139,0,4,132500.0
City_14,0,1,40000.0
City_140,0,1,40000.0
City_141,0,3,37500.0
City_142,0,1,30000.0
City_143,0,1,25000.0
City_144,0,2,35000.0
City_145,0,1,80000.0
City_146,0,5,30000.0
City_147,0,2,140000.0
City_148,0,1,20000.0
City_149,0,1,80000.0
City_15,0,13,33333.333333333336
City_150,0,1,30000.0
City_151,0,1,25000.0
City_152,0,6,45000.0
City_153,0,1,40000.0
City_154,0,1,30000.0
City_155,0,2,75000.0
City_156,0,4,40000.0
City_157,0,2,85000.0
City_158,0,1,30000.0
City_159,0,3,60000.0
City_16,0,1,25000.0
City_160,0,1,180000.0
City_161,0,1,190000.0
City_162,0,1,60000.0
City_163,0,2,35000.0
City_164,0,1,35000.0
City_165,0,3,35000.0
City_166,0,8,26666.666666666668
City_167,0,1,250000.0
City_168,0,4,30000.0
City_169,0,1,30000.0
City_17,0,1,60000.0
City_170,0,13,32500.0
City_171,0,1,60000.0
City_172,0,1,180000.0
City_173,0,1,80000.0
City_174,0,5,120000.0
City_175,0,1,25000.0
City_176,0,1,45000.0
City_177,0,1,25000.0
City_178,0,1,200000.0
