OrderHour,SLA,sla_count,total_orders,sla_ratio,avg_cost
0,2HR(24X7),6,1699,0.003531489111241907,
0,4HR(24X7),988,1699,0.581518540317834,57672.18543046358
0,4HR(8X5),11,1699,0.006474396703943496,31600.0
0,6HR(24X7),5,1699,0.002942907592701589,170000.0
0,EMC,10,1699,0.005885815185403178,
0,LENOVO,6,1699,0.003531489111241907,
0,Lenovo,6,1699,0.003531489111241907,
0,MPFRPOW ,1,1699,0.0005885815185403178,25000.0
0,NBD,2,1699,0.0011771630370806356,
0,OWPCN,3,1699,0.0017657445556209534,42500.0
0,PO2(24X7),27,1699,0.015891701000588582,39705.882352941175
0,PO4,12,1699,0.007062978222483814,40000.0
0,PO4(24X7),564,1699,0.33195997645673925,42672.6618705036
0,PO4(8X5),12,1699,0.007062978222483814,37777.77777777778
0,POW,13,1699,0.007651559741024131,46666.66666666666
0,POWOCN,27,1699,0.015891701000588582,30961.53846153846
0,POWWUD,4,1699,0.002354326074161271,
0,WEWORK,1,1699,0.0005885815185403178,
0,WUD,1,1699,0.0005885815185403178,
6,NBD,2,3,0.6666666666666666,
6,OWCN,1,3,0.3333333333333333,
7,OWCN,2,2,1.0,
8,OWCN,1,1,1.0,
9,NBD,1,1,1.0,
10,CAR,4,8,0.5,
10,NBD,1,8,0.125,
10,OWCN,2,8,0.25,
10,POWWUD,1,8,0.125,
11,BADXPOWWUD,1,15,0.06666666666666667,
11,NBD,4,15,0.26666666666666666,
11,OWCN,1,15,0.06666666666666667,
11,OWPCN,8,15,0.5333333333333333,42500.0
11,POW,1,15,0.06666666666666667,46666.66666666666
12,NBD,2,2,1.0,
13,CAR,1,57,0.017543859649122806,
13,INCCNBD,1,57,0.017543859649122806,
13,MPFRPOW,5,57,0.08771929824561403,
13,NBD,24,57,0.42105263157894735,
13,OWCN,5,57,0.08771929824561403,
13,OWPCN,4,57,0.07017543859649122,42500.0
13,POW,6,57,0.10526315789473684,46666.66666666666
13,POWO,1,57,0.017543859649122806,
13,POWOCN,1,57,0.017543859649122806,30961.53846153846
13,POWWUD,9,57,0.15789473684210525,
14,CAR,4,249,0.01606425702811245,
14,CUW,1,249,0.004016064257028112,
14,DSPPOW,1,249,0.004016064257028112,
14,INCCCAR,1,249,0.004016064257028112,
14,INCCNBD,3,249,0.012048192771084338,
14,MPFRPOW,3,249,0.012048192771084338,
14,NBD,126,249,0.5060240963855421,
14,OWCN,34,249,0.13654618473895583,
14,OWPCN,9,249,0.03614457831325301,42500.0
14,POW,24,249,0.0963855421686747,46666.66666666666
14,POWO,3,249,0.012048192771084338,
14,POWOCN,2,249,0.008032128514056224,30961.53846153846
14,POWWUD,31,249,0.12449799196787148,
14,WIS,7,249,0.028112449799196786,
15,CAR,34,1202,0.028286189683860232,
15,CUW,1,1202,0.0008319467554076539,
15,DSPPOW,5,1202,0.004159733777038269,
15,INCCNBD,23,1202,0.01913477537437604,
15,MPFRPOW,22,1202,0.018302828618968387,
15,NBD,592,1202,0.4925124792013311,
15,OWCN,163,1202,0.13560732113144758,
15,OWPCN,36,1202,0.029950083194675542,42500.0
15,POW,130,1202,0.10815307820299501,46666.66666666666
15,POWDOSD,3,1202,0.0024958402662229617,
15,POWO,17,1202,0.014143094841930116,
15,POWOCN,17,1202,0.014143094841930116,30961.53846153846
15,POWOCN(P),2,1202,0.0016638935108153079,
15,POWWUD,143,1202,0.11896838602329451,
15,WIS,12,1202,0.009983361064891847,
15,WUD,2,1202,0.0016638935108153079,
16,CAR,7,822,0.00851581508515815,
16,CUW,1,822,0.0012165450121654502,
16,DSPPOW,5,822,0.006082725060827251,
16,INCCCAR,1,822,0.0012165450121654502,
16,INCCNBD,14,822,0.0170316301703163,
16,INCCPOW,2,822,0.0024330900243309003,
16,MPFRPOW,22,822,0.0267639902676399,
16,NBD,407,822,0.4951338199513382,
16,OWCN,74,822,0.09002433090024331,
16,OWPCN,41,822,0.049878345498783457,42500.0
16,PFRPOW,6,822,0.0072992700729927005,
16,POW,91,822,0.11070559610705596,46666.66666666666
16,POWO,5,822,0.006082725060827251,
16,POWOCN,9,822,0.010948905109489052,30961.53846153846
16,POWOCN(P),4,822,0.004866180048661801,
16,POWWUD,125,822,0.15206812652068127,
16,WIS,8,822,0.009732360097323601,
17,CAR,15,1174,0.012776831345826235,
17,CUW,3,1174,0.002555366269165247,
17,DSPPOW,1,1174,0.0008517887563884157,
17,INCCNBD,18,1174,0.015332197614991482,
17,MPFRPOW,137,1174,0.11669505962521294,
17,NBD,582,1174,0.4957410562180579,
17,OWCN,172,1174,0.1465076660988075,
17,OWPCN,28,1174,0.02385008517887564,42500.0
17,PFRNBD,4,1174,0.0034071550255536627,
17,POW,89,1174,0.075809199318569,46666.66666666666
17,POWO,3,1174,0.002555366269165247,
17,POWOCN,11,1174,0.009369676320272573,30961.53846153846
17,POWWUD,79,1174,0.06729131175468483,
17,WIS,31,1174,0.026405451448040886,
17,WUD,1,1174,0.0008517887563884157,
18,CAR,2,52,0.038461538461538464,
18,INCCNBD,2,52,0.038461538461538464,
18,MPFRPOW,3,52,0.057692307692307696,
18,NBD,17,52,0.3269230769230769,
18,OWCN,14,52,0.2692307692307692,
18,OWPCN,4,52,0.07692307692307693,42500.0
18,PFRPOW,1,52,0.019230769230769232,
18,POW,8,52,0.15384615384615385,46666.66666666666
18,POWWUD,1,52,0.019230769230769232,
