SLA,Vehicle,vehicle_count,avg_travel_time,vehicle_ratio
2HR(24X7),labor,5,195.3491271820449,0.8333333333333334
2HR(24X7),truck,1,195.3491271820449,0.16666666666666666
4HR(24X7),labor,470,195.3491271820449,0.4757085020242915
4HR(24X7),motor,232,195.3491271820449,0.23481781376518218
4HR(24X7),truck,286,195.3491271820449,0.2894736842105263
4HR(8X5),labor,7,195.3491271820449,0.6363636363636364
4HR(8X5),motor,3,195.3491271820449,0.2727272727272727
4HR(8X5),truck,1,195.3491271820449,0.09090909090909091
6HR(24X7),labor,2,195.3491271820449,0.4
6HR(24X7),truck,3,195.3491271820449,0.6
BADXPOWWUD,truck,1,195.3491271820449,1.0
CAR,truck,67,195.3491271820449,1.0
CUW,truck,6,195.3491271820449,1.0
DSPPOW,truck,12,195.3491271820449,1.0
EMC,labor,10,195.3491271820449,1.0
INCCCAR,truck,2,195.3491271820449,1.0
INCCNBD,truck,61,195.3491271820449,1.0
INCCPOW,truck,2,195.3491271820449,1.0
LENOVO,labor,6,195.3491271820449,1.0
Lenovo,labor,5,195.3491271820449,0.8333333333333334
Lenovo,motor,1,195.3491271820449,0.16666666666666666
MPFRPOW,truck,192,195.3491271820449,1.0
MPFRPOW ,motor,1,195.3491271820449,1.0
NBD,labor,2,195.3491271820449,0.0011363636363636363
NBD,truck,1758,195.3491271820449,0.9988636363636364
OWCN,truck,469,195.3491271820449,1.0
OWPCN,labor,2,195.3491271820449,0.015037593984962405
OWPCN,motor,1,195.3491271820449,0.007518796992481203
OWPCN,truck,130,195.3491271820449,0.9774436090225563
PFRNBD,truck,4,195.3491271820449,1.0
PFRPOW,truck,7,195.3491271820449,1.0
PO2(24X7),labor,10,195.3491271820449,0.37037037037037035
PO2(24X7),motor,14,195.3491271820449,0.5185185185185185
PO2(24X7),truck,3,195.3491271820449,0.1111111111111111
PO4,labor,7,195.3491271820449,0.5833333333333334
PO4,motor,5,195.3491271820449,0.4166666666666667
PO4(24X7),labor,293,195.3491271820449,0.5195035460992907
PO4(24X7),motor,214,195.3491271820449,0.37943262411347517
PO4(24X7),truck,57,195.3491271820449,0.10106382978723404
PO4(8X5),labor,4,195.3491271820449,0.3333333333333333
PO4(8X5),motor,8,195.3491271820449,0.6666666666666666
POW,labor,11,195.3491271820449,0.03038674033149171
POW,motor,2,195.3491271820449,0.0055248618784530384
POW,truck,349,195.3491271820449,0.9640883977900553
POWDOSD,truck,3,195.3491271820449,1.0
POWO,truck,29,195.3491271820449,1.0
POWOCN,labor,14,195.3491271820449,0.208955223880597
POWOCN,motor,13,195.3491271820449,0.19402985074626866
POWOCN,truck,40,195.3491271820449,0.5970149253731343
POWOCN(P),truck,6,195.3491271820449,1.0
POWWUD,labor,4,195.3491271820449,0.010178117048346057
POWWUD,truck,389,195.3491271820449,0.989821882951654
WEWORK,labor,1,195.3491271820449,1.0
WIS,truck,58,195.3491271820449,1.0
WUD,labor,1,195.3491271820449,0.25
WUD,truck,3,195.3491271820449,0.75
