ZipCode,total_orders,avg_distance
10016,1,50.0
10090,71,39.0
10109,2,32.0
10113,1,30.0
10366,2,39.0
10391,4,39.0
10401,1,38.0
10403,1,33.0
10410,1,38.0
10442,8,31.0
10443,1,26.0
10449,2,31.0
10512,1,26.0
10545,1,13.0
10561,1,34.0
10845,15,63.13333333333333
10897,2,50.0
10939,19,51.0
10955,1,52.0
12098,1,50.0
12243,1,46.0
12269,1,63.0
12284,2,61.0
12611,1,108.0
12646,1,109.0
12902,3,55.0
12938,2,58.0
13211,1,54.0
13449,4,42.0
13453,1,43.0
13486,21,44.0
13487,2,44.0
13488,6,44.0
13493,6,46.0
13494,8,43.0
13496,39,49.0
13505,1,49.0
13531,1,41.0
13557,1,47.0
13570,1,47.0
13590,2,43.0
13591,1,42.0
13595,10,46.0
13609,1,41.0
13636,1,50.0
13638,4,46.0
13824,1,28.0
13840,2,33.0
14055,35,26.0
14056,1,28.0
14058,1,30.0
14087,4,20.0
14127,1,27.0
14348,1,17.0
14547,2,17.0
14780,2,3.0
14988,1,18.0
15093,3,22.0
15603,1,25.0
15609,2,35.0
15633,1,36.0
15808,1,26.0
15849,1,32.0
16006,15,31.0
16075,2,32.0
16082,30,35.0
16336,2,42.0
16419,2,43.0
16494,1,47.0
16508,1,43.0
16512,1,46.0
16522,2,50.5
16674,3,55.0
16675,15,50.0
16676,15,51.0
16677,8,51.0
16678,15,58.0
16681,10,51.0
16826,1,49.0
16827,1,37.0
16832,1,54.0
16858,4,48.0
16878,27,54.0
16891,2,57.0
16924,4,50.0
16995,1,59.0
17018,4,64.0
17058,4,64.0
17086,1,59.0
17088,1,60.0
17096,1,64.0
17113,1,62.0
17170,1,90.0
17332,34,93.0
17336,6,94.0
17424,1,119.0
17500,1,90.0
17550,1,83.0
17552,1,90.0
17558,3,93.0
17567,2,97.0
17604,2,108.5
17704,1,72.0
17708,1,68.0
17709,2,68.0
17736,1,79.0
17786,1,81.0
17812,1,69.0
17823,2,81.0
17901,1,87.0
17905,1,82.0
17936,1,81.0
17963,1,80.0
17973,1,87.0
17977,2,87.0
17998,1,92.0
18279,1,60.0
18383,5,61.0
18448,82,59.96341463414634
18449,4,60.0
18453,2,241.0
18469,3,58.0
18481,2,59.0
18488,12,60.0
18489,1,64.0
18514,1,61.0
18515,1,64.0
18623,1,61.0
21004,2,26.0
21321,1,15.0
21330,5,16.0
21390,4,16.0
21554,1,16.0
21558,6,15.0
21573,1,21.0
21967,1,22.0
21986,3,29.0
21987,4,28.0
21989,1,46.0
21990,1,26.0
21995,1,76.0
21998,1,29.0
22013,7,26.0
22014,4,31.0
22135,1,20.0
22212,2,21.0
22382,5,63.0
22502,3,29.0
22742,13,32.0
22828,1,17.0
22849,1,37.0
24040,1,132.0
24131,1,211.0
24213,4,141.0
24239,5,140.0
24398,1,156.0
24465,2,113.0
25209,1,159.0
25629,1,302.0
26455,1,148.0
27465,7,143.0
27803,2,118.0
28119,1,147.0
28122,2,152.0
28159,1,153.0
28356,5,160.0
28436,1,160.0
28799,1,164.0
30068,1,149.0
30102,1,160.0
30136,1,178.0
30137,1,172.0
30141,2,172.0
30147,1,167.0
31086,2,113.0
31093,1,112.0
31109,1,110.0
31116,1,114.0
31183,2,113.0
31248,14,130.0
31253,1,132.0
31413,1,98.0
31418,1,108.0
31454,6,114.0
31489,1,120.0
31580,1,108.0
31700,1,128.0
31902,1,135.0
32149,1,153.0
32248,2,140.0
32557,1,161.0
33323,1,164.0
34047,3,195.0
34102,2,204.0
34122,1,193.0
34124,2,189.0
34133,1,186.0
34141,7,190.0
34325,1,182.0
34350,2,186.0
34873,2,201.0
35203,1,194.0
35213,1,194.0
35259,1,186.0
35262,11,200.0
