우편번호,주소
1000,서울특별시 강북구 삼양로181길 132
1001,서울특별시 강북구 삼양로170길 62
1002,서울특별시 강북구 도선사길 93
1003,서울특별시 강북구 삼양로155나길 7
1004,서울특별시 강북구 삼양로169길 5
1005,서울특별시 강북구 삼양로 601
1006,서울특별시 강북구 삼양로149길 62
1007,서울특별시 강북구 삼양로149가길 5
1008,서울특별시 강북구 삼양로139가길 80
1009,서울특별시 강북구 삼양로139길 58
1010,서울특별시 강북구 삼양로139나길 23
1011,서울특별시 강북구 삼양로139길 27
1012,서울특별시 강북구 4.19로12길 14
1013,서울특별시 강북구 4.19로30길 18
1014,서울특별시 강북구 인수봉로81길 5
1015,서울특별시 강북구 인수봉로75길 48
1016,서울특별시 강북구 4.19로17길 52
1017,서울특별시 강북구 4.19로23길 33
1018,서울특별시 강북구 4.19로31길 72
1019,서울특별시 강북구 삼각산로 13
1020,서울특별시 강북구 인수봉로79길 75
1021,서울특별시 강북구 인수봉로 245
1022,서울특별시 강북구 인수봉로 223
1023,서울특별시 강북구 인수봉로57길 7
1024,서울특별시 강북구 인수봉로 185
1025,서울특별시 강북구 화계사길 46
1026,서울특별시 강북구 인수봉로 314
1027,서울특별시 강북구 삼양로123가길 39
1028,서울특별시 강북구 삼양로123길 46
1029,서울특별시 강북구 삼양로 477
1030,서울특별시 강북구 삼양로117길 10
1031,서울특별시 강북구 인수봉로78길 18
1032,서울특별시 강북구 인수봉로 260
1033,서울특별시 강북구 삼양로 447
1034,서울특별시 강북구 삼양로107길 32
1035,서울특별시 강북구 삼양로107길 51
1036,서울특별시 강북구 인수봉로68길 46
1037,서울특별시 강북구 삼양로130길 5
1038,서울특별시 강북구 삼양로124길 27
1039,서울특별시 강북구 삼양로124길 14
1040,서울특별시 강북구 삼양로118길 31
1041,서울특별시 강북구 삼양로116길 21
1042,서울특별시 강북구 삼각산로 143
1043,서울특별시 강북구 노해로19길 6
1044,서울특별시 강북구 한천로170길 7
1045,서울특별시 강북구 한천로170길 87
1046,서울특별시 강북구 한천로170길 38
1047,서울특별시 강북구 한천로 1146
1048,서울특별시 강북구 노해로23길 46
1049,서울특별시 강북구 노해로27길 14
1050,서울특별시 강북구 노해로35길 39
1051,서울특별시 강북구 노해로22길 7
1052,서울특별시 강북구 도봉로97길 70
1053,서울특별시 강북구 도봉로97길 59
1054,서울특별시 강북구 한천로140길 17
1055,서울특별시 강북구 도봉로101길 33
1056,서울특별시 강북구 한천로134길 10
1057,서울특별시 강북구 도봉로98길 16
1058,서울특별시 강북구 한천로124다길 50
1059,서울특별시 강북구 한천로124나길 34
1060,서울특별시 강북구 한천로130길 64
1061,서울특별시 강북구 덕릉로 193
1062,서울특별시 강북구 도봉로 334
1063,서울특별시 강북구 도봉로 348
1064,서울특별시 강북구 오패산로78길 12
1065,서울특별시 강북구 오패산로 389
1066,서울특별시 강북구 한천로123길 26
1067,서울특별시 강북구 한천로 969
1068,서울특별시 강북구 한천로123길 51
1069,서울특별시 강북구 덕릉로 119
1070,서울특별시 강북구 한천로139가길 42
1071,서울특별시 강북구 한천로139나길 22
1072,서울특별시 강북구 노해로14길 7
1073,서울특별시 강북구 도봉로87길 15
1074,서울특별시 강북구 한천로139길 41
1075,서울특별시 강북구 삼양로98가길 4
1076,서울특별시 강북구 노해로13길 30
1077,서울특별시 강북구 삼각산로36길 3
1078,서울특별시 강북구 노해로11길 19
1079,서울특별시 강북구 수유로 53
1080,서울특별시 강북구 수유로 65
1081,서울특별시 강북구 수유로 56
1082,서울특별시 강북구 삼양로 376
1083,서울특별시 강북구 삼각산로20길 7
