우편번호,주소
25627,강원특별자치도 강릉시 단경로 36
25630,강원특별자치도 강릉시 오이동길 45
25620,강원특별자치도 강릉시 시동서당길 98
25632,강원특별자치도 강릉시 헌화로 670
25626,강원특별자치도 강릉시 율곡로 1901
25628,강원특별자치도 강릉시 단경로 352
25629,강원특별자치도 강릉시 임곡로 490
25631,강원특별자치도 강릉시 정동역길 12
25618,강원특별자치도 강릉시 풍호길 301
25468,강원특별자치도 강릉시 해안로 321
25460,강원특별자치도 강릉시 해안로406번길 13
25556,강원특별자치도 강릉시 창해로 245
25467,강원특별자치도 강릉시 창해로 363
25466,강원특별자치도 강릉시 해안로 333
25557,강원특별자치도 강릉시 해안로 217
25560,강원특별자치도 강릉시 경강로 2573
25561,강원특별자치도 강릉시 성덕로 12
25559,강원특별자치도 강릉시 경강로2539번길 13
25495,강원특별자치도 강릉시 가작로 78
25494,강원특별자치도 강릉시 가작로 85
25497,강원특별자치도 강릉시 화부산로99번길 12
25502,강원특별자치도 강릉시 화부산로40번길 29
25489,강원특별자치도 강릉시 가작로 240
25551,강원특별자치도 강릉시 옥천로71번길 18
25490,강원특별자치도 강릉시 율곡로2988번길 8
25491,강원특별자치도 강릉시 율곡로 2912
25498,강원특별자치도 강릉시 화부산로99번길 8
25475,강원특별자치도 강릉시 종합운동장길 92
25501,강원특별자치도 강릉시 화부산로 29
25514,강원특별자치도 강릉시 교동광장로 138
25504,강원특별자치도 강릉시 강릉대로 177
25499,강원특별자치도 강릉시 화부산로 89
25509,강원특별자치도 강릉시 솔올로 90
25474,강원특별자치도 강릉시 종합운동장길 72
25517,강원특별자치도 강릉시 하슬라로 114
25503,강원특별자치도 강릉시 강릉대로 203
25493,강원특별자치도 강릉시 가작로113번길 5
25473,강원특별자치도 강릉시 수리골길 65
25507,강원특별자치도 강릉시 하슬라로 223
25516,강원특별자치도 강릉시 정원로 74
25506,강원특별자치도 강릉시 강릉대로 145
25472,강원특별자치도 강릉시 수리골길 76
25527,강원특별자치도 강릉시 명주로77번길 11
25518,강원특별자치도 강릉시 하슬라로20번길 14
25476,강원특별자치도 강릉시 수리골길17번길 21
25505,강원특별자치도 강릉시 화부산로 28
25515,강원특별자치도 강릉시 정원로 48
25500,강원특별자치도 강릉시 교동광장로 163
25508,강원특별자치도 강릉시 하슬라로232번길 21
25513,강원특별자치도 강릉시 율곡초교길43번길 8
25528,강원특별자치도 강릉시 강릉대로160번길 11
25530,강원특별자치도 강릉시 강릉대로204번길 12
25496,강원특별자치도 강릉시 율곡로2987번길 2
25510,강원특별자치도 강릉시 율곡초교길 3
25511,강원특별자치도 강릉시 하슬라로206번길 16
25512,강원특별자치도 강릉시 교동광장로100번길 17
25529,강원특별자치도 강릉시 강릉대로194번길 2
25526,강원특별자치도 강릉시 강릉대로 110
25488,강원특별자치도 강릉시 가작로252번길 21
25531,강원특별자치도 강릉시 율곡로 2857
25465,강원특별자치도 강릉시 경포로 109
25622,강원특별자치도 강릉시 청파로 6
25624,강원특별자치도 강릉시 하금광길 84
25623,강원특별자치도 강릉시 범일로 93
25625,강원특별자치도 강릉시 신석길102번길 233
25621,강원특별자치도 강릉시 칠봉로 517
25539,강원특별자치도 강릉시 신대학길 22
25540,강원특별자치도 강릉시 신대학길 27
25543,강원특별자치도 강릉시 금성로 13
25541,강원특별자치도 강릉시 금성로12번길 6
25464,강원특별자치도 강릉시 난곡길 7
25463,강원특별자치도 강릉시 난곡행정길49번길 2
25462,강원특별자치도 강릉시 저동등길 61
25538,강원특별자치도 강릉시 경강로2046번길 11
25535,강원특별자치도 강릉시 명주로17번길 17
25537,강원특별자치도 강릉시 홍제로 15
25617,강원특별자치도 강릉시 공항길127번길 42
25604,강원특별자치도 강릉시 남부로18번길 19
25602,강원특별자치도 강릉시 관솔길 85
25601,강원특별자치도 강릉시 범일로579번길 7
25603,강원특별자치도 강릉시 강변로 99
25585,강원특별자치도 강릉시 강변로 145
25595,강원특별자치도 강릉시 남부로125번길 26
25597,강원특별자치도 강릉시 남산초교길12번길 11
25596,강원특별자치도 강릉시 남산초교길 43
25588,강원특별자치도 강릉시 강변로312번길 24
25592,강원특별자치도 강릉시 노암길 40
25594,강원특별자치도 강릉시 임영로26번길 10
25584,강원특별자치도 강릉시 율곡로 2750
25611,강원특별자치도 강릉시 노암등길 71
25589,강원특별자치도 강릉시 율곡로 2733
25590,강원특별자치도 강릉시 율곡로 2705
25587,강원특별자치도 강릉시 노암길41번길 14
25610,강원특별자치도 강릉시 노암등길 76
25586,강원특별자치도 강릉시 단오장길 1
25612,강원특별자치도 강릉시 유산로25번길 84
25605,강원특별자치도 강릉시 진재골길29번길 89
25591,강원특별자치도 강릉시 노가니남길 25
25593,강원특별자치도 강릉시 임영로 46
25607,강원특별자치도 강릉시 모산로111번길 15
25453,강원특별자치도 강릉시 한밭골길 76
25452,강원특별자치도 강릉시 과학단지로21번길 1
25451,강원특별자치도 강릉시 과학단지로 24
25440,강원특별자치도 강릉시 과학단지로 106
25573,강원특별자치도 강릉시 강변로534번길 58
25575,강원특별자치도 강릉시 강변로648번길 39
25534,강원특별자치도 강릉시 명주로 6
25608,강원특별자치도 강릉시 박월길 124
25606,강원특별자치도 강릉시 모산로224번길 39
25574,강원특별자치도 강릉시 성덕로 146
25437,강원특별자치도 강릉시 샛돌3길 25
25439,강원특별자치도 강릉시 송암골길 102
25436,강원특별자치도 강릉시 본동길 170
25438,강원특별자치도 강릉시 중앙서로 694
25435,강원특별자치도 강릉시 해안로 1044
25441,강원특별자치도 강릉시 산대월길 302
25459,강원특별자치도 강릉시 해안로 725
25434,강원특별자치도 강릉시 석교양지길 36
25542,강원특별자치도 강릉시 중앙시장2길 59
25544,강원특별자치도 강릉시 금성로45번길 12
25555,강원특별자치도 강릉시 율곡로 2792
25533,강원특별자치도 강릉시 경강로 2063
25448,강원특별자치도 강릉시 괴일길 171
25450,강원특별자치도 강릉시 경강로 1237
25445,강원특별자치도 강릉시 칠봉로 16
25449,강원특별자치도 강릉시 소목길 18
