index,우편번호,실시간빠른길,편한길,최적경로,무료우선,second_highest,
0,1000,35.26,37.86,35.26,35.26,35.26,1000
1,1001,34.44,37.04,34.44,34.44,34.44,1001
2,1002,36.06,44.97,36.06,36.06,36.06,1002
3,1003,34.09,36.69,34.09,34.09,34.09,1003
4,1004,34.25,36.84,34.25,34.25,34.25,1004
5,1005,33.77,36.37,33.77,33.77,33.77,1005
6,1006,33.69,36.29,33.69,33.69,33.69,1006
7,1007,33.57,36.16,33.57,33.57,33.57,1007
8,1008,33.71,36.31,33.71,33.71,33.71,1008
9,1009,35.36,35.65,35.36,35.36,35.36,1009
10,1010,35.4,35.69,35.4,35.4,35.4,1010
11,1011,35.45,35.66,35.45,35.45,35.45,1011
12,1012,35.47,36.01,35.47,35.47,35.47,1012
13,1013,36.12,36.66,36.12,36.12,36.12,1013
14,1014,35,35.91,35,35,35,1014
15,1015,34.92,36.38,34.92,34.92,34.92,1015
16,1016,32.48,36.7,32.48,32.48,32.48,1016
17,1017,35.97,36.51,33.21,33.21,35.97,1017
18,1018,33.63,36.93,33.63,33.63,33.63,1018
19,1019,32.12,32.12,32.12,32.12,32.12,1019
20,1020,32.26,32.26,32.26,32.26,32.26,1020
21,1021,32.12,36.42,32.12,32.12,32.12,1021
22,1022,31.46,31.46,31.46,31.46,31.46,1022
23,1023,31.17,31.17,31.17,31.17,31.17,1023
24,1024,31.46,31.46,31.46,31.46,31.46,1024
25,1025,31,31,31,31,31,1025
26,1026,32.31,32.31,32.31,32.31,32.31,1026
27,1027,32.42,36.08,32.42,32.42,32.42,1027
28,1028,32.3,32.3,32.3,32.3,32.3,1028
29,1029,33.06,35.67,33.06,33.06,33.06,1029
30,1030,32.2,32.89,32.2,32.2,32.2,1030
31,1031,32.15,36.09,32.15,32.15,32.15,1031
32,1032,31.86,31.86,31.86,31.86,31.86,1032
33,1033,32.16,32.85,32.16,32.16,32.16,1033
34,1034,31.88,31.88,31.88,31.88,31.88,1034
35,1035,31.78,31.78,31.78,31.78,31.78,1035
36,1036,31.79,31.79,31.79,31.79,31.79,1036
37,1037,32.56,33.25,32.56,32.56,32.56,1037
38,1038,32.46,35.06,32.46,32.46,32.46,1038
39,1039,32.41,33.1,32.41,32.41,32.41,1039
40,1040,32.37,34.92,32.37,32.37,32.37,1040
41,1041,32.23,35.31,32.23,32.23,32.23,1041
42,1042,32.19,32.88,32.19,32.19,32.19,1042
43,1043,34.49,34.49,34.49,34.49,34.49,1043
44,1044,35.24,35.24,35.24,35.24,35.24,1044
45,1045,35.98,35.98,35.98,35.98,35.98,1045
46,1046,35.39,35.39,35.39,35.39,35.39,1046
47,1047,34.99,34.99,34.99,34.99,34.99,1047
48,1048,33.75,34.82,33.75,33.75,33.75,1048
49,1049,33.63,35.06,35.06,35.06,35.06,1049
50,1050,34.27,41.8,34.27,34.27,34.27,1050
51,1051,33.44,34.52,33.44,33.44,33.44,1051
52,1052,33.65,34.72,33.65,33.65,33.65,1052
