index,우편번호,실시간빠른길,편한길,최적경로,무료우선,second_highest,주소
9049,14784,1.48,1.48,1.48,1.48,1.48,
9050,14785,1.93,1.93,1.93,1.93,1.93,경기도 부천시 소사구 연동로 50
9051,14786,2.29,2.29,2.29,2.29,2.29,경기도 부천시 소사구 범안로 248
9052,14787,1.9,1.9,1.9,1.9,1.9,경기도 부천시 소사구 옥길로 55
9053,14788,2.47,2.47,2.47,2.47,2.47,경기도 부천시 소사구 양지남로 69
9054,14789,1.88,1.88,1.88,1.88,1.88,경기도 부천시 소사구 범안로219번길 87
9055,14790,2.04,2.04,2.04,2.04,2.04,경기도 부천시 소사구 범안로 220
9056,14900,4.81,4.81,4.81,4.81,4.81,경기도 시흥시 하우로 11
9057,14901,2.83,2.83,2.83,2.83,2.83,경기도 시흥시 소사로 20
9058,14902,4.71,4.76,4.71,4.71,4.71,경기도 시흥시 호현로 155
9059,14903,5.2,5.2,5.2,5.2,5.2,경기도 시흥시 서해안로 1541
9060,14904,4.88,4.88,4.88,4.88,4.88,경기도 시흥시 호현로103번길 45
9061,14905,4.78,4.78,4.78,4.78,4.78,경기도 시흥시 복지로 61
9062,14906,4.1,4.1,4.1,4.1,4.1,경기도 시흥시 복지로 125
9063,14907,4.46,4.7,4.46,4.46,4.46,경기도 시흥시 복지로 126
9064,14908,4.82,4.82,4.82,4.82,4.82,경기도 시흥시 은행로218번길 33
9065,14909,5.23,5.18,5.23,5.23,5.23,경기도 시흥시 뱀내장터로 27
9066,14910,5.26,5.26,5.26,5.26,5.26,경기도 시흥시 호현로22번길 1
9067,14911,7.22,7.22,7.22,7.22,7.22,경기도 시흥시 비둘기공원7길 67
9068,14912,5.25,5.2,5.25,5.25,5.25,경기도 시흥시 비둘기공원6길 23
9069,14913,5.42,4.89,4.89,4.89,4.89,경기도 시흥시 은행로 250
9070,14914,4.82,4.82,4.82,4.82,4.82,경기도 시흥시 은행로173번길 13
9071,14915,4.66,4.66,4.66,4.66,4.66,경기도 시흥시 대은로103번길 11
9072,14916,6.64,6.64,6.64,6.64,6.64,경기도 시흥시 은행로 86
9073,14917,5.35,5.35,5.35,5.35,5.35,경기도 시흥시 은행로 151
9074,14918,5.26,5.26,5.26,5.26,5.26,경기도 시흥시 대은로 64
9075,14919,7.13,7.13,7.13,7.13,7.13,경기도 시흥시 대은로 16
9076,14920,7.05,7.05,7.05,7.05,7.05,경기도 시흥시 수인로 3249
9077,14921,7.76,8.72,7.76,7.76,7.76,경기도 시흥시 시흥대로 1074
9078,14922,6.39,6.28,6.39,6.39,6.39,경기도 시흥시 은계로142번길 17
9079,14923,5.24,5.24,5.24,5.24,5.24,경기도 시흥시 계수로 58
9080,14924,5.35,5.35,5.35,5.35,5.35,경기도 시흥시 계수로 64
9081,14925,3.31,3.31,3.31,3.31,3.31,경기도 시흥시 계수로 197
9082,14926,4.09,4.09,4.09,4.09,4.09,경기도 시흥시 금오로 527
9083,14927,3.22,3.22,3.22,3.22,3.22,경기도 시흥시 금오로 607
9084,14928,5.29,3.87,3.87,3.87,3.87,경기도 시흥시 범안로390번길 26
9085,14929,4.58,4.58,4.58,4.58,4.58,경기도 시흥시 건지물길 23
9086,14930,6.76,6.76,6.76,6.76,6.76,경기도 시흥시 수인로3108번길 49
