우편번호,주소,도로거리(km),최단거리(km),최장거리(km)
25627,강원특별자치도 강릉시 단경로 36,231.91,105.32,321.83
25630,강원특별자치도 강릉시 오이동길 45,239.34,105.32,321.83
25620,강원특별자치도 강릉시 시동서당길 98,232.69,105.32,321.83
25632,강원특별자치도 강릉시 헌화로 670,252.12,105.32,321.83
25626,강원특별자치도 강릉시 율곡로 1901,233.7,105.32,321.83
25628,강원특별자치도 강릉시 단경로 352,233.62,105.32,321.83
25629,강원특별자치도 강릉시 임곡로 490,236.67,105.32,321.83
25631,강원특별자치도 강릉시 정동역길 12,242.03,105.32,321.83
25618,강원특별자치도 강릉시 풍호길 301,231.8,105.32,321.83
25468,강원특별자치도 강릉시 해안로 321,231.32,105.32,321.83
25460,강원특별자치도 강릉시 해안로406번길 13,235.31,105.32,321.83
25556,강원특별자치도 강릉시 창해로 245,229.15,105.32,321.83
25467,강원특별자치도 강릉시 창해로 363,231.41,105.32,321.83
25466,강원특별자치도 강릉시 해안로 333,231.24,105.32,321.83
25557,강원특별자치도 강릉시 해안로 217,228.94,105.32,321.83
25560,강원특별자치도 강릉시 경강로 2573,231.47,105.32,321.83
25561,강원특별자치도 강릉시 성덕로 12,229.72,105.32,321.83
25559,강원특별자치도 강릉시 경강로2539번길 13,229.17,105.32,321.83
25495,강원특별자치도 강릉시 가작로 78,225.2,105.32,321.83
25494,강원특별자치도 강릉시 가작로 85,225.31,105.32,321.83
25497,강원특별자치도 강릉시 화부산로99번길 12,225.04,105.32,321.83
25502,강원특별자치도 강릉시 화부산로40번길 29,224.71,105.32,321.83
25489,강원특별자치도 강릉시 가작로 240,226.67,105.32,321.83
25551,강원특별자치도 강릉시 옥천로71번길 18,225.09,105.32,321.83
25490,강원특별자치도 강릉시 율곡로2988번길 8,225.7,105.32,321.83
25491,강원특별자치도 강릉시 율곡로 2912,225.28,105.32,321.83
25498,강원특별자치도 강릉시 화부산로99번길 8,224.98,105.32,321.83
25475,강원특별자치도 강릉시 종합운동장길 92,226.15,105.32,321.83
25501,강원특별자치도 강릉시 화부산로 29,225.05,105.32,321.83
25514,강원특별자치도 강릉시 교동광장로 138,224.5,105.32,321.83
25504,강원특별자치도 강릉시 강릉대로 177,224.53,105.32,321.83
25499,강원특별자치도 강릉시 화부산로 89,225.02,105.32,321.83
25509,강원특별자치도 강릉시 솔올로 90,225.78,105.32,321.83
25474,강원특별자치도 강릉시 종합운동장길 72,226.62,105.32,321.83
25517,강원특별자치도 강릉시 하슬라로 114,223.54,105.32,321.83
25503,강원특별자치도 강릉시 강릉대로 203,224.71,105.32,321.83
25493,강원특별자치도 강릉시 가작로113번길 5,225.51,105.32,321.83
25473,강원특별자치도 강릉시 수리골길 65,227.03,105.32,321.83
25507,강원특별자치도 강릉시 하슬라로 223,225.47,105.32,321.83
25516,강원특별자치도 강릉시 정원로 74,225.23,105.32,321.83
25506,강원특별자치도 강릉시 강릉대로 145,224.3,105.32,321.83
25472,강원특별자치도 강릉시 수리골길 76,227.08,105.32,321.83
25527,강원특별자치도 강릉시 명주로77번길 11,223.84,105.32,321.83
25518,강원특별자치도 강릉시 하슬라로20번길 14,223.89,105.32,321.83
25476,강원특별자치도 강릉시 수리골길17번길 21,226.46,105.32,321.83
25505,강원특별자치도 강릉시 화부산로 28,224.35,105.32,321.83
25515,강원특별자치도 강릉시 정원로 48,224.6,105.32,321.83
25500,강원특별자치도 강릉시 교동광장로 163,224.53,105.32,321.83
25508,강원특별자치도 강릉시 하슬라로232번길 21,225.75,105.32,321.83
25513,강원특별자치도 강릉시 율곡초교길43번길 8,225.62,105.32,321.83
25528,강원특별자치도 강릉시 강릉대로160번길 11,224.15,105.32,321.83
25530,강원특별자치도 강릉시 강릉대로204번길 12,224.69,105.32,321.83
25496,강원특별자치도 강릉시 율곡로2987번길 2,226.03,105.32,321.83
25510,강원특별자치도 강릉시 율곡초교길 3,225.7,105.32,321.83
25511,강원특별자치도 강릉시 하슬라로206번길 16,225.44,105.32,321.83
25512,강원특별자치도 강릉시 교동광장로100번길 17,225.32,105.32,321.83
25529,강원특별자치도 강릉시 강릉대로194번길 2,224.39,105.32,321.83
25526,강원특별자치도 강릉시 강릉대로 110,223.53,105.32,321.83
25488,강원특별자치도 강릉시 가작로252번길 21,226.33,105.32,321.83
25531,강원특별자치도 강릉시 율곡로 2857,224.82,105.32,321.83
25465,강원특별자치도 강릉시 경포로 109,226.16,105.32,321.83
25622,강원특별자치도 강릉시 청파로 6,226.98,105.32,321.83
25624,강원특별자치도 강릉시 하금광길 84,230.14,105.32,321.83
25623,강원특별자치도 강릉시 범일로 93,228.6,105.32,321.83
